Ndex,Pokémon,Type,Secondary Typing,Special Form,Generation
#0202,Wobbuffet,Psychic,,,2
#0203,Girafarig,Normal,Psychic,,2
#0204,Pineco,Bug,,,2
#0205,Forretress,Bug,Steel,,2
#0206,Dunsparce,Normal,,,2
#0207,Gligar,Ground,Flying,,2
#0208,Steelix,Steel,Ground,,2
#0209,Snubbull,Fairy,,,2
#0210,Granbull,Fairy,,,2
#0211,Qwilfish,Water,Poison,,2
#0211,Qwilfish,Dark,Poison,Hisuian Form,2
#0212,Scizor,Bug,Steel,,2
#0213,Shuckle,Bug,Rock,,2
#0214,Heracross,Bug,Fighting,,2
#0215,Sneasel,Dark,Ice,,2
#0215,Sneasel,Fighting,Poison,Hisuian Form,2
#0216,Teddiursa,Normal,,,2
#0217,Ursaring,Normal,,,2
#0218,Slugma,Fire,,,2
#0219,Magcargo,Fire,Rock,,2
#0220,Swinub,Ice,Ground,,2
#0221,Piloswine,Ice,Ground,,2
#0222,Corsola,Water,Rock,,2
#0222,Corsola,Ghost,,Galarian Form,2
#0223,Remoraid,Water,,,2
#0224,Octillery,Water,,,2
#0225,Delibird,Ice,Flying,,2
#0226,Mantine,Water,Flying,,2
#0227,Skarmory,Steel,Flying,,2
#0228,Houndour,Dark,Fire,,2
#0229,Houndoom,Dark,Fire,,2
#0230,Kingdra,Water,Dragon,,2
#0231,Phanpy,Ground,,,2
#0232,Donphan,Ground,,,2
#0233,Porygon2,Normal,,,2
#0234,Stantler,Normal,,,2
#0235,Smeargle,Normal,,,2
#0236,Tyrogue,Fighting,,,2
#0237,Hitmontop,Fighting,,,2
#0238,Smoochum,Ice,Psychic,,2
#0239,Elekid,Electric,,,2
#0240,Magby,Fire,,,2
#0241,Miltank,Normal,,,2
#0242,Blissey,Normal,,,2
#0243,Raikou,Electric,,,2
#0244,Entei,Fire,,,2
#0245,Suicune,Water,,,2
#0246,Larvitar,Rock,Ground,,2
#0247,Pupitar,Rock,Ground,,2
#0248,Tyranitar,Rock,Dark,,2
#0249,Lugia,Psychic,Flying,,2
#0250,Ho-Oh,Fire,Flying,,2
#0251,Celebi,Psychic,Grass,,2
#0252,Treecko,Grass,,,3
#0253,Grovyle,Grass,,,3
#0254,Sceptile,Grass,,,3
#0255,Torchic,Fire,,,3
#0256,Combusken,Fire,Fighting,,3
#0257,Blaziken,Fire,Fighting,,3
#0258,Mudkip,Water,,,3
#0259,Marshtomp,Water,Ground,,3
#0260,Swampert,Water,Ground,,3
#0261,Poochyena,Dark,,,3
#0262,Mightyena,Dark,,,3
#0263,Zigzagoon,Normal,,,3
#0263,Zigzagoon,Dark,Normal,Galarian Form,3
#0264,Linoone,Normal,,,3
#0264,Linoone,Dark,Normal,Galarian Form,3
#0265,Wurmple,Bug,,,3
#0266,Silcoon,Bug,,,3
#0267,Beautifly,Bug,Flying,,3
#0268,Cascoon,Bug,,,3
#0269,Dustox,Bug,Poison,,3
#0270,Lotad,Water,Grass,,3
#0271,Lombre,Water,Grass,,3
#0272,Ludicolo,Water,Grass,,3
#0273,Seedot,Grass,,,3
#0274,Nuzleaf,Grass,Dark,,3
#0275,Shiftry,Grass,Dark,,3
#0276,Taillow,Normal,Flying,,3
#0277,Swellow,Normal,Flying,,3
#0278,Wingull,Water,Flying,,3
#0279,Pelipper,Water,Flying,,3
#0280,Ralts,Psychic,Fairy,,3
#0281,Kirlia,Psychic,Fairy,,3
#0282,Gardevoir,Psychic,Fairy,,3
#0283,Surskit,Bug,Water,,3
#0284,Masquerain,Bug,Flying,,3
#0285,Shroomish,Grass,,,3
#0286,Breloom,Grass,Fighting,,3
#0287,Slakoth,Normal,,,3
#0288,Vigoroth,Normal,,,3
#0289,Slaking,Normal,,,3
#0290,Nincada,Bug,Ground,,3
#0291,Ninjask,Bug,Flying,,3
#0292,Shedinja,Bug,Ghost,,3
#0293,Whismur,Normal,,,3
#0294,Loudred,Normal,,,3
#0295,Exploud,Normal,,,3
#0296,Makuhita,Fighting,,,3
#0297,Hariyama,Fighting,,,3
#0298,Azurill,Normal,Fairy,,3
#0299,Nosepass,Rock,,,3
#0300,Skitty,Normal,,,3
#0301,Delcatty,Normal,,,3
#0302,Sableye,Dark,Ghost,,3
#0303,Mawile,Steel,Fairy,,3
#0304,Aron,Steel,Rock,,3
#0305,Lairon,Steel,Rock,,3
#0306,Aggron,Steel,Rock,,3
#0307,Meditite,Fighting,Psychic,,3
#0308,Medicham,Fighting,Psychic,,3
#0309,Electrike,Electric,,,3
#0310,Manectric,Electric,,,3
#0311,Plusle,Electric,,,3
#0312,Minun,Electric,,,3
#0313,Volbeat,Bug,,,3
#0314,Illumise,Bug,,,3
#0315,Roselia,Grass,Poison,,3
#0316,Gulpin,Poison,,,3
#0317,Swalot,Poison,,,3
#0318,Carvanha,Water,Dark,,3
#0319,Sharpedo,Water,Dark,,3
#0320,Wailmer,Water,,,3
#0321,Wailord,Water,,,3
#0322,Numel,Fire,Ground,,3
#0323,Camerupt,Fire,Ground,,3
#0324,Torkoal,Fire,,,3
#0325,Spoink,Psychic,,,3
#0326,Grumpig,Psychic,,,3
#0327,Spinda,Normal,,,3
#0328,Trapinch,Ground,,,3
#0329,Vibrava,Ground,Dragon,,3
#0330,Flygon,Ground,Dragon,,3
#0331,Cacnea,Grass,,,3
#0332,Cacturne,Grass,Dark,,3
#0333,Swablu,Normal,Flying,,3
#0334,Altaria,Dragon,Flying,,3
#0335,Zangoose,Normal,,,3
#0336,Seviper,Poison,,,3
#0337,Lunatone,Rock,Psychic,,3
#0338,Solrock,Rock,Psychic,,3
#0339,Barboach,Water,Ground,,3
#0340,Whiscash,Water,Ground,,3
#0341,Corphish,Water,,,3
#0342,Crawdaunt,Water,Dark,,3
#0343,Baltoy,Ground,Psychic,,3
#0344,Claydol,Ground,Psychic,,3
#0345,Lileep,Rock,Grass,,3
#0346,Cradily,Rock,Grass,,3
#0347,Anorith,Rock,Bug,,3
#0348,Armaldo,Rock,Bug,,3
#0349,Feebas,Water,,,3
#0350,Milotic,Water,,,3
#0351,Castform,Normal,,,3
#0351,Castform,Fire,,Sunny Form,3
#0351,Castform,Water,,Rainy Form,3
#0351,Castform,Ice,,Snowy Form,3
#0352,Kecleon,Normal,,,3
#0353,Shuppet,Ghost,,,3
#0354,Banette,Ghost,,,3
#0355,Duskull,Ghost,,,3
#0356,Dusclops,Ghost,,,3
#0357,Tropius,Grass,Flying,,3
#0358,Chimecho,Psychic,,,3
#0359,Absol,Dark,,,3
#0360,Wynaut,Psychic,,,3
#0361,Snorunt,Ice,,,3
#0362,Glalie,Ice,,,3
#0363,Spheal,Ice,Water,,3
#0364,Sealeo,Ice,Water,,3
#0365,Walrein,Ice,Water,,3
#0366,Clamperl,Water,,,3
#0367,Huntail,Water,,,3
#0368,Gorebyss,Water,,,3
#0369,Relicanth,Water,Rock,,3
#0370,Luvdisc,Water,,,3
#0371,Bagon,Dragon,,,3
#0372,Shelgon,Dragon,,,3
#0373,Salamence,Dragon,Flying,,3
#0374,Beldum,Steel,Psychic,,3
#0375,Metang,Steel,Psychic,,3
#0376,Metagross,Steel,Psychic,,3
#0377,Regirock,Rock,,,3
#0378,Regice,Ice,,,3
#0379,Registeel,Steel,,,3
#0380,Latias,Dragon,Psychic,,3
#0381,Latios,Dragon,Psychic,,3
#0382,Kyogre,Water,,,3
#0383,Groudon,Ground,,,3
#0384,Rayquaza,Dragon,Flying,,3
#0385,Jirachi,Steel,Psychic,,3
#0386,Deoxys,Psychic,,Normal Forme,3
#0387,Turtwig,Grass,,,4
#0388,Grotle,Grass,,,4
#0389,Torterra,Grass,Ground,,4
#0390,Chimchar,Fire,,,4
#0391,Monferno,Fire,Fighting,,4
#0392,Infernape,Fire,Fighting,,4
#0393,Piplup,Water,,,4
#0394,Prinplup,Water,,,4
#0395,Empoleon,Water,Steel,,4
#0396,Starly,Normal,Flying,,4
#0397,Staravia,Normal,Flying,,4
#0398,Staraptor,Normal,Flying,,4
#0399,Bidoof,Normal,,,4
#0400,Bibarel,Normal,Water,,4
#0401,Kricketot,Bug,,,4
#0402,Kricketune,Bug,,,4
#0403,Shinx,Electric,,,4
#0404,Luxio,Electric,,,4
#0405,Luxray,Electric,,,4
#0406,Budew,Grass,Poison,,4
#0407,Roserade,Grass,Poison,,4
#0408,Cranidos,Rock,,,4
#0409,Rampardos,Rock,,,4
#0410,Shieldon,Rock,Steel,,4
#0411,Bastiodon,Rock,Steel,,4
#0412,Burmy,Bug,,,4
#0413,Wormadam,Bug,Grass,Plant Cloak,4
#0413,Wormadam,Bug,Ground,Sandy Cloak,4
#0413,Wormadam,Bug,Steel,Trash Cloak,4
#0414,Mothim,Bug,Flying,,4
#0415,Combee,Bug,Flying,,4
#0416,Vespiquen,Bug,Flying,,4
#0417,Pachirisu,Electric,,,4
#0418,Buizel,Water,,,4
#0419,Floatzel,Water,,,4
#0420,Cherubi,Grass,,,4
#0421,Cherrim,Grass,,,4
#0422,Shellos,Water,,,4
#0423,Gastrodon,Water,Ground,,4
#0424,Ambipom,Normal,,,4
#0425,Drifloon,Ghost,Flying,,4
#0426,Drifblim,Ghost,Flying,,4
#0427,Buneary,Normal,,,4
#0428,Lopunny,Normal,,,4
#0429,Mismagius,Ghost,,,4
#0430,Honchkrow,Dark,Flying,,4
#0431,Glameow,Normal,,,4
#0432,Purugly,Normal,,,4
#0433,Chingling,Psychic,,,4
#0434,Stunky,Poison,Dark,,4
#0435,Skuntank,Poison,Dark,,4
#0436,Bronzor,Steel,Psychic,,4
#0437,Bronzong,Steel,Psychic,,4
#0438,Bonsly,Rock,,,4
#0439,Mime Jr.,Psychic,Fairy,,4
#0440,Happiny,Normal,,,4
#0441,Chatot,Normal,Flying,,4
#0442,Spiritomb,Ghost,Dark,,4
#0443,Gible,Dragon,Ground,,4
#0444,Gabite,Dragon,Ground,,4
#0445,Garchomp,Dragon,Ground,,4
#0446,Munchlax,Normal,,,4
#0447,Riolu,Fighting,,,4
#0448,Lucario,Fighting,Steel,,4
#0449,Hippopotas,Ground,,,4
#0450,Hippowdon,Ground,,,4
#0451,Skorupi,Poison,Bug,,4
#0452,Drapion,Poison,Dark,,4
#0453,Croagunk,Poison,Fighting,,4
#0454,Toxicroak,Poison,Fighting,,4
#0455,Carnivine,Grass,,,4
#0456,Finneon,Water,,,4
#0457,Lumineon,Water,,,4
#0458,Mantyke,Water,Flying,,4
#0459,Snover,Grass,Ice,,4
#0460,Abomasnow,Grass,Ice,,4
#0461,Weavile,Dark,Ice,,4
#0462,Magnezone,Electric,Steel,,4
#0463,Lickilicky,Normal,,,4
#0464,Rhyperior,Ground,Rock,,4
#0465,Tangrowth,Grass,,,4
#0466,Electivire,Electric,,,4
#0467,Magmortar,Fire,,,4
#0468,Togekiss,Fairy,Flying,,4
#0469,Yanmega,Bug,Flying,,4
#0470,Leafeon,Grass,,,4
#0471,Glaceon,Ice,,,4
#0472,Gliscor,Ground,Flying,,4
#0473,Mamoswine,Ice,Ground,,4
#0474,Porygon-Z,Normal,,,4
#0475,Gallade,Psychic,Fighting,,4
#0476,Probopass,Rock,Steel,,4
#0477,Dusknoir,Ghost,,,4
#0478,Froslass,Ice,Ghost,,4
#0479,Rotom,Electric,Ghost,Rotom,4
#0479,Rotom,Electric,Fire,Heat Rotom,4
#0479,Rotom,Electric,Water,Wash Rotom,4
#0479,Rotom,Electric,Ice,Frost Rotom,4
#0479,Rotom,Electric,Flying,Fan Rotom,4
#0479,Rotom,Electric,Grass,Mow Rotom,4
#0480,Uxie,Psychic,,,4
#0481,Mesprit,Psychic,,,4
#0482,Azelf,Psychic,,,4
#0483,Dialga,Steel,Dragon,,4
#0484,Palkia,Water,Dragon,,4
#0485,Heatran,Fire,Steel,,4
#0486,Regigigas,Normal,,,4
#0487,Giratina,Ghost,Dragon,,4
#0488,Cresselia,Psychic,,,4
#0489,Phione,Water,,,4
#0490,Manaphy,Water,,,4
#0491,Darkrai,Dark,,,4
#0492,Shaymin,Grass,,Land Forme,4
#0492,Shaymin,Grass,Flying,Sky Forme,4
#0493,Arceus,Normal,,,4
#0494,Victini,Psychic,Fire,,5
#0495,Snivy,Grass,,,5
#0496,Servine,Grass,,,5
#0497,Serperior,Grass,,,5
#0498,Tepig,Fire,,,5
#0499,Pignite,Fire,Fighting,,5
#0500,Emboar,Fire,Fighting,,5
#0501,Oshawott,Water,,,5
#0502,Dewott,Water,,,5
#0503,Samurott,Water,,,5
#0503,Samurott,Water,Dark,Hisuian Form,5
#0504,Patrat,Normal,,,5
#0505,Watchog,Normal,,,5
#0506,Lillipup,Normal,,,5
#0507,Herdier,Normal,,,5
#0508,Stoutland,Normal,,,5
#0509,Purrloin,Dark,,,5
#0510,Liepard,Dark,,,5
#0511,Pansage,Grass,,,5
#0512,Simisage,Grass,,,5
#0513,Pansear,Fire,,,5
#0514,Simisear,Fire,,,5
#0515,Panpour,Water,,,5
#0516,Simipour,Water,,,5
#0517,Munna,Psychic,,,5
#0518,Musharna,Psychic,,,5
#0519,Pidove,Normal,Flying,,5
#0520,Tranquill,Normal,Flying,,5
#0521,Unfezant,Normal,Flying,,5
#0522,Blitzle,Electric,,,5
#0523,Zebstrika,Electric,,,5
#0524,Roggenrola,Rock,,,5
#0525,Boldore,Rock,,,5
#0526,Gigalith,Rock,,,5
#0527,Woobat,Psychic,Flying,,5
#0528,Swoobat,Psychic,Flying,,5
#0529,Drilbur,Ground,,,5
#0530,Excadrill,Ground,Steel,,5
#0531,Audino,Normal,,,5
#0532,Timburr,Fighting,,,5
#0533,Gurdurr,Fighting,,,5
#0534,Conkeldurr,Fighting,,,5
#0535,Tympole,Water,,,5
#0536,Palpitoad,Water,Ground,,5
#0537,Seismitoad,Water,Ground,,5
#0538,Throh,Fighting,,,5
#0539,Sawk,Fighting,,,5
#0540,Sewaddle,Bug,Grass,,5
#0541,Swadloon,Bug,Grass,,5
#0542,Leavanny,Bug,Grass,,5
#0543,Venipede,Bug,Poison,,5
#0544,Whirlipede,Bug,Poison,,5
#0545,Scolipede,Bug,Poison,,5
#0546,Cottonee,Grass,Fairy,,5
#0547,Whimsicott,Grass,Fairy,,5
#0548,Petilil,Grass,,,5
#0549,Lilligant,Grass,,,5
#0549,Lilligant,Grass,Fighting,Hisuian Form,5
#0550,Basculin,Water,,,5
#0551,Sandile,Ground,Dark,,5
#0552,Krokorok,Ground,Dark,,5
#0553,Krookodile,Ground,Dark,,5
#0554,Darumaka,Fire,,,5
#0554,Darumaka,Ice,,Galarian Form,5
#0555,Darmanitan,Fire,,Standard Mode,5
#0555,Darmanitan,Fire,Psychic,Zen Mode,5
#0555,Darmanitan,Ice,,Galarian Form,5
#0555,Darmanitan,Ice,Fire,Zen Mode (Galarian Form),5
#0556,Maractus,Grass,,,5
#0557,Dwebble,Bug,Rock,,5
#0558,Crustle,Bug,Rock,,5
#0559,Scraggy,Dark,Fighting,,5
#0560,Scrafty,Dark,Fighting,,5
#0561,Sigilyph,Psychic,Flying,,5
#0562,Yamask,Ghost,,,5
#0562,Yamask,Ground,Ghost,Galarian Form,5
#0563,Cofagrigus,Ghost,,,5
#0564,Tirtouga,Water,Rock,,5
#0565,Carracosta,Water,Rock,,5
#0566,Archen,Rock,Flying,,5
#0567,Archeops,Rock,Flying,,5
#0568,Trubbish,Poison,,,5
#0569,Garbodor,Poison,,,5
#0570,Zorua,Dark,,,5
#0570,Zorua,Normal,Ghost,Hisuian Form,5
#0571,Zoroark,Dark,,,5
#0571,Zoroark,Normal,Ghost,Hisuian Form,5
#0572,Minccino,Normal,,,5
#0573,Cinccino,Normal,,,5
#0574,Gothita,Psychic,,,5
#0575,Gothorita,Psychic,,,5
#0576,Gothitelle,Psychic,,,5
#0577,Solosis,Psychic,,,5
#0578,Duosion,Psychic,,,5
#0579,Reuniclus,Psychic,,,5
#0580,Ducklett,Water,Flying,,5
#0581,Swanna,Water,Flying,,5
#0582,Vanillite,Ice,,,5
#0583,Vanillish,Ice,,,5
#0584,Vanilluxe,Ice,,,5
#0585,Deerling,Normal,Grass,,5
#0586,Sawsbuck,Normal,Grass,,5
#0587,Emolga,Electric,Flying,,5
#0588,Karrablast,Bug,,,5
#0589,Escavalier,Bug,Steel,,5
#0590,Foongus,Grass,Poison,,5
#0591,Amoonguss,Grass,Poison,,5
#0592,Frillish,Water,Ghost,,5
#0593,Jellicent,Water,Ghost,,5
#0594,Alomomola,Water,,,5
#0595,Joltik,Bug,Electric,,5
#0596,Galvantula,Bug,Electric,,5
#0597,Ferroseed,Grass,Steel,,5
#0598,Ferrothorn,Grass,Steel,,5
#0599,Klink,Steel,,,5
#0600,Klang,Steel,,,5
#0601,Klinklang,Steel,,,5
#0602,Tynamo,Electric,,,5
#0603,Eelektrik,Electric,,,5
#0604,Eelektross,Electric,,,5
#0605,Elgyem,Psychic,,,5
#0606,Beheeyem,Psychic,,,5
#0607,Litwick,Ghost,Fire,,5
#0608,Lampent,Ghost,Fire,,5
#0609,Chandelure,Ghost,Fire,,5
#0610,Axew,Dragon,,,5
#0611,Fraxure,Dragon,,,5
#0612,Haxorus,Dragon,,,5
#0613,Cubchoo,Ice,,,5
#0614,Beartic,Ice,,,5
#0615,Cryogonal,Ice,,,5
#0616,Shelmet,Bug,,,5
#0617,Accelgor,Bug,,,5
#0618,Stunfisk,Ground,Electric,,5
#0618,Stunfisk,Ground,Steel,Galarian Form,5
#0619,Mienfoo,Fighting,,,5
#0620,Mienshao,Fighting,,,5
#0621,Druddigon,Dragon,,,5
#0622,Golett,Ground,Ghost,,5
#0623,Golurk,Ground,Ghost,,5
#0624,Pawniard,Dark,Steel,,5
#0625,Bisharp,Dark,Steel,,5
#0626,Bouffalant,Normal,,,5
#0627,Rufflet,Normal,Flying,,5
#0628,Braviary,Normal,Flying,,5
#0628,Braviary,Psychic,Flying,Hisuian Form,5
#0629,Vullaby,Dark,Flying,,5
#0630,Mandibuzz,Dark,Flying ,,5
#0631,Heatmor,Fire,,,5
#0632,Durant,Bug,Steel,,5
